run_id,scene_id,model,prompt_type,outputs_expected,cost_value,cost_unit,status
RUN_SC0014_CLIP_SC0014_01_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_02_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_03_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_04_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_05_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_06_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_07_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_08_KO_0003,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_01_KO_0001,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_02_KO_0002,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_04_KO_0004,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_05_KO_0005,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_06_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_07_KO_0007,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_08_KO_0008,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_01_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_02_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_03_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_04_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_05_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_07_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
RUN_SC0014_CLIP_SC0014_08_KO_0006,SC0014,kling_omni,omni_instruction,1,0,unknown,pending
